,Country,Arrivals,Units,2018,2019,2020,2021,2022,Mean Total Arrivals,Recommendation,latitude,longitude,Avg Temp(°C),Avg Rainfall(mm)
147,Reunion,total arrivals,thousands,574.0,601.0,255.1,251.0,495.0,435.22,Go,-21.115141,55.536384,26.0,4.5
148,Romania,total arrivals,thousands,11720.0,12815.0,5023.0,6789.0,12697.0,9808.8,Go,45.943161,24.96676,26.0,2.2
149,Russian Federation,total arrivals,thousands,24551.0,24419.0,6359.0,,,18443.0,No Go,61.52401,105.318756,0.0,0.0
150,Rwanda,total arrivals,thousands,1711.0,1634.0,497.0,511.0,,1088.25,Go,-1.940278,29.873888,25.0,2.2
151,Saint Kitts And Nevis,total arrivals,thousands,1278.0,1107.0,301.4,122.6,589.1,679.62,Go,17.357822,-62.782998,26.0,4.2
152,Saint Lucia,total arrivals,thousands,1165.0,1220.0,432.5,297.0,714.0,765.7,Go,13.909444,-60.978893,26.0,2.2
153,Saint Vincent And The Grenadines,total arrivals,thousands,356.0,399.0,155.0,56.7,210.0,235.34,Go,12.984305,-61.287228,26.0,4.0
154,Samoa,total arrivals,thousands,172.0,181.0,23.9,2.6,50.6,86.02000000000001,No Go,-13.759029,-172.104629,0.0,0.0
155,San Marino,total arrivals,thousands,1874.0,1904.0,1015.0,1354.0,,1536.75,Go,43.94236,12.457777,25.0,2.2
156,Sao Tome And Principe,total arrivals,thousands,33.4,34.9,10.7,15.1,,23.525,No Go,0.18636,6.613081,0.0,0.0
157,Saudi Arabia,total arrivals,thousands,17570.0,20292.0,4882.0,3869.0,18256.0,12973.8,Go,23.885942,45.079162,26.0,2.2
158,Serbia,total arrivals,thousands,1711.0,1847.0,446.0,871.0,1773.0,1329.6,Go,44.016521,21.005859,26.0,2.2
159,Seychelles,total arrivals,thousands,405.0,428.0,124.5,183.0,339.0,295.9,Go,-4.679574,55.491977,26.0,2.2
160,Sierra Leone,total arrivals,thousands,66.0,71.0,26.0,44.0,,51.75,No Go,8.460555,-11.779889,0.0,0.0
161,Singapore,total arrivals,thousands,18508.0,19116.0,2742.0,330.0,6306.0,9400.4,Go,1.352083,103.819836,26.0,2.2
162,Sint Maarten (Dutch Part),total arrivals,thousands,1775.0,1952.0,542.0,482.0,1217.0,1193.6,Go,18.0528,-63.0425,27.0,3.8
163,Slovakia,total arrivals,thousands,15299.0,16086.0,,,,15692.5,Go,48.669026,19.699024,26.0,2.2
164,Slovenia,total arrivals,thousands,4425.0,4702.0,1216.0,1832.0,3936.0,3222.2,Go,46.151241,14.995463,26.0,2.2
165,Solomon Islands,total arrivals,thousands,27.9,28.9,4.4,0.7,,15.475,No Go,-9.64571,160.156194,0.0,0.0
166,South Africa,total arrivals,thousands,15004.0,14797.0,3886.6,2664.0,7342.0,8738.72,Go,-30.559482,22.937506,25.0,2.2
167,Spain,total arrivals,thousands,124456.0,126170.0,36410.0,51631.0,104968.0,88727.0,No Go,40.463667,-3.74922,25.0,0.4
168,Sri Lanka,total arrivals,thousands,2521.0,2027.0,540.0,195.0,758.8,1208.36,Go,7.873054,80.771797,26.0,2.2
169,State Of Palestine,total arrivals,thousands,3429.0,4232.0,1000.0,,,2887.0,No Go,31.952162,35.233154,0.0,0.0
170,Sudan,total arrivals,thousands,836.0,,,,,836.0,No Go,12.862807,30.217636,0.0,0.0
171,Sweden,total arrivals,thousands,7440.0,7616.0,1957.0,2990.0,6629.0,5326.4,Go,60.128161,18.643501,25.0,2.2
172,Switzerland,total arrivals,thousands,11715.0,11818.0,3690.0,4390.0,9159.5,8154.5,Go,46.818188,8.227512,25.0,2.2
173,Syrian Arab Republic,total arrivals,thousands,1802.0,2424.0,479.0,661.0,,1341.5,No Go,34.802075,38.996815,0.0,0.0
174,Taiwan Province Of China,total arrivals,thousands,11067.0,11864.0,1378.0,140.0,896.0,5069.0,Go,23.69781,120.960515,27.0,4.7
175,Tajikistan,total arrivals,thousands,1035.0,1257.0,351.0,296.0,,734.75,Go,38.861034,71.276093,25.0,2.2
176,"Tanzania, United Republic Of",total arrivals,thousands,1506.0,1527.0,621.0,1027.0,1455.0,1227.2,Go,-6.369028,34.888822,26.0,4.4
177,Thailand,total arrivals,thousands,38178.0,39916.0,6725.0,511.0,,21332.5,Go,15.870032,100.992541,25.0,2.2
178,Timor-Leste,total arrivals,thousands,74.6,80.8,17.9,5.5,,44.7,No Go,-8.874217,125.727539,0.0,0.0
179,Togo,total arrivals,thousands,573.0,876.0,482.0,,,643.6666666666666,Go,8.619543,0.824782,25.0,2.2
180,Tonga,total arrivals,thousands,77.3,94.0,11.5,0.2,22.3,41.06,No Go,-21.178986,-175.198242,0.0,0.0
181,Trinidad And Tobago,total arrivals,thousands,507.8,481.5,141.1,41.1,253.3,284.9599999999999,Go,10.691803,-61.222503,27.0,4.2
182,Tunisia,total arrivals,thousands,8299.0,9429.0,2012.0,2475.0,6441.0,5731.2,Go,33.886917,9.537499,25.0,2.2
183,Türkiye,total arrivals,thousands,46113.0,51747.0,15971.0,30039.0,51388.0,39051.6,Go,38.963745,35.243322,26.0,4.1
184,Turks And Caicos Islands,total arrivals,thousands,1463.0,1599.0,370.4,432.0,,966.1,Go,21.694025,-71.797928,27.0,3.9
185,Tuvalu,total arrivals,thousands,3.1,3.7,0.6,0.04,0.244,1.5368,No Go,-7.109535,177.64933,0.0,0.0
186,Uganda,total arrivals,thousands,1506.0,1543.0,473.0,513.0,815.0,970.0,Go,1.373333,32.290275,25.0,2.2
187,Ukraine,total arrivals,thousands,14342.0,13710.0,3382.0,4272.0,2307.0,7602.6,No Go,48.379433,31.16558,0.0,0.0
188,United Arab Emirates,total arrivals,thousands,23092.0,25282.0,8084.0,12784.0,,17310.5,Go,23.424076,53.847818,26.0,2.2
189,United Kingdom,total arrivals,thousands,40283.0,40857.0,11101.0,6384.0,31244.0,25973.8,Go,55.378051,-3.435973,25.0,2.2
190,United States Of America,total arrivals,thousands,169324.918,165478.0,44792.0,66594.0,50870.0,99411.7836,Go,37.09024,-95.712891,27.0,4.1
191,United States Virgin Islands,total arrivals,thousands,1922.0,2074.0,862.0,1072.4,,1482.6,No Go,18.335765,-64.896335,0.0,0.0
192,Uruguay,total arrivals,thousands,3954.0,3480.0,,234.0,,2556.0,Go,-32.522779,-55.765835,25.0,2.1
193,Uzbekistan,total arrivals,thousands,5346.0,6749.0,1504.0,1881.0,5233.0,4142.6,Go,41.377491,64.585262,25.0,2.1
194,Vanuatu,total arrivals,thousands,350.2,256.0,82.4,,65.0,188.4,No Go,-15.376706,166.959158,0.0,0.0
195,Viet Nam,total arrivals,thousands,15498.0,18009.0,3837.0,157.0,3661.0,8232.4,Go,14.058324,108.277199,27.0,4.2
196,Zambia,total arrivals,thousands,1072.0,1266.0,502.0,554.0,,848.5,Go,-13.133897,27.849332,25.0,2.1
197,Zimbabwe,total arrivals,thousands,2580.0,2294.0,639.0,381.0,1044.0,1387.6,Go,-19.015438,29.154857,25.0,2.1
